channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Universal Pictures,24,1,1.0,3.0,3.0,3.0,False,False,False
Billboard,10,1,1.0,3.0,2.0,2.0,False,False,False
Bad Lip Reading,23,1,1.0,3.0,3.0,2.0,False,False,False
WWE,17,1,1.0,2.0,2.0,2.0,False,False,False
Kelly Clarkson,10,1,0.0,0.0,0.0,0.0,False,False,False
Hometalk,26,1,1.0,3.0,3.0,2.0,False,False,False
HouzzTV,26,1,0.0,1.0,1.0,0.0,False,False,False
AaronsAnimals,15,1,1.0,2.0,2.0,2.0,False,False,False
ColliderVideos,24,1,0.0,0.0,0.0,0.0,False,False,False
Star Wars,24,1,0.0,1.0,0.0,1.0,False,False,False
Condé Nast Traveler,19,1,0.0,0.0,0.0,0.0,False,False,False
Pepsi,24,1,0.0,0.0,1.0,0.0,False,False,False
AnthonyPadilla,23,1,0.0,2.0,2.0,2.0,False,False,False
Howl Of A Dog,15,1,1.0,2.0,1.0,2.0,False,False,False
Hulu,24,1,1.0,0.0,0.0,0.0,False,False,False
CinemaSins,1,1,1.0,2.0,2.0,2.0,False,False,False
Philip DeFranco,25,1,1.0,3.0,3.0,3.0,False,False,False
The Game Theorists,20,1,1.0,3.0,3.0,3.0,False,False,False
SMTOWN,10,1,1.0,3.0,3.0,3.0,False,False,False
Chubbyemu,28,1,0.0,2.0,2.0,2.0,False,False,False
LaurDIY,26,1,1.0,3.0,2.0,3.0,False,False,False
Safiya Nygaard,22,1,1.0,3.0,2.0,2.0,False,False,False
Unecht Erfunden,22,0,0.0,1.0,1.0,1.0,False,False,False
Philip DeFranco,25,1,1.0,3.0,3.0,3.0,False,False,False
Entertainment Tonight,10,1,0.0,0.0,1.0,0.0,False,False,False
The School of Life,27,1,0.0,1.0,1.0,0.0,False,False,False
Saturday Night Live,24,1,1.0,1.0,1.0,1.0,False,False,False
BostonDynamics,28,1,1.0,3.0,3.0,3.0,False,False,False
Marques Brownlee,28,1,1.0,3.0,3.0,3.0,False,False,False
The Graham Norton Show,24,1,1.0,1.0,0.0,0.0,False,False,False
Tanner Fox,1,1,1.0,2.0,3.0,2.0,False,False,False
ElleOfTheMills,24,1,1.0,3.0,1.0,2.0,False,False,False
Terrormink,28,1,0.0,0.0,0.0,0.0,False,False,False
BBC News,25,1,0.0,0.0,0.0,0.0,False,False,False
Safiya Nygaard,22,1,1.0,3.0,3.0,3.0,False,False,False
zefrank1,22,0,1.0,3.0,1.0,2.0,False,False,False
Tyler Oakley,24,1,1.0,2.0,3.0,2.0,False,False,False
Kortney Steury,22,0,0.0,0.0,0.0,0.0,False,False,False
TinasheOfficialVEVO,10,1,1.0,2.0,2.0,2.0,False,False,False
SadeVEVO,10,1,1.0,2.0,1.0,1.0,False,False,False
Bleecker Street,1,1,1.0,1.0,2.0,1.0,False,False,False
HellthyJunkFood,24,1,1.0,2.0,3.0,2.0,False,False,False
Guava Juice,24,1,1.0,3.0,3.0,3.0,False,False,False
